text,label
"!upi padahal aku udah nahan buat ga jalan2 sama keluarga karna ada omicron, tp knp ya org2 pada jalan2 :(",2
@corbuzier Awal covid heboh di luar2 sono respon pemerintah slow bet dah Sekarang ada lgi omicron iya omicron padahal tau lgi rame omicron eh org2 dibolehin ngejemput si omicron (akses bebas minim prokes) emng dabest,2
"@musniumar Setuju banget, omicron tak berbahaya yang berhaya kadrun bin kampret",3
"@Ayang_Utriza @nahdlatululama @BLMalay Wow keren, sayang skrg di Inggris sdg menggila Omicron.",2
"Balik dikurung lagi, omicron anjing",3
@Kemdikbud_RI kenapa pada saat omicron menanjak naik malah diwajibkan utk anak2 SD utk mulai PTM di sekolah ?,2
"@zarazettirazr Akhirnya kewalahan sendiri membendung omicron, eh salah,  ikan bandeng",2
Vaksin sinovac-sinophram mampu cegah kematian akibat omicron   #DukungPemulihanIndonesia  https://t.co/PxQWNOu4o6,1
"Kayaknya krn Omicron ini cepat bgt menular. Dari semua yg makan bersama hari itu, pulang2 sebagian besar langsung meriang.  Skrg udah 4 orang yg terkonfirmasi positif. Yang lainnya ada yg negatif kayak Pak Jay, masih nunggu hasil tes, atau yg blm kasih update gmn keadaan mrk.",2
"@hilopyuu bgus, omicron jg jdi alesan 👍",2
@NovacN27 sebenarnya mrk percaya omicron benar virus yg terjadi krn alami atau disebar sengaja sih? mrk kan org² cerdas. utk semua org didunia 😒. maunya nurut NWO,3
"Apa Yang Harus Kita Lakukan Untuk Hadapi Varian Omicron?  Pandemi Covid-19 harus ditangani dengan komitmen bersama serta dilakukan secara disiplin, kompak dan konsisten. Apa yang harus dilakukan?  https://t.co/PpKgR0kxyu",1
@goesdut Kayaknya omicron bakal naik deh di sekitar februari sampai maret/april. Makanya banyak film yg haruse tayang di bulan itu reschedule ke april atau pindah tayang ke OTT. Dari pengalaman yg kmaren kmaren produser film antisipasinya  jitu.,1
otw munggah nehh 👀👀 #omicron  https://t.co/mEfw0b01hK,2
Wkwk gagal turkey dah gara2 Omicron sm Ashanty ...,2
"Enak yah yang abis liburan dari Turki, Bawa oleh-oleh omicron yang ribet satu negara.",3
Kapokkk wong sugih kok rande utek. Malah bali2 gowo omicron. Blok,3
@Felixiswr @apreawati @eslsye @kumparan Gue udah kena omicron. Rasanya B aja tuh. Dua tiga hari banyak makan sop kelar.,1
@CNNIndonesia Ntar habis ini rame covid omicron. Ntar ppkm  Ekonomi baru mulai membaik. Masa mau diancurin lagi,2
"@saidi_sudarsono Hanya orang bodoh yg percaya dgn omicron. Itu hanya flu biasa yg memang banyak variannya. Fadilah Supari dikriminalisasi, dokter Terawan dipecat ganti bankir jd Menkes, Eijkman dibubarkan.  Pejabat menakut2i rakyat karena mau mengamankan pemerintahannya dan menambah kekayaannya.",3
@alextham878 Padahal vaksin komplit masih kena Omicron . Fungsi vaksin apa ?,2
Omicron lagi naik daun nih ayooo booster anak2 semangat 💪💪  https://t.co/OlKSKi1ur9,1
"jangan gadaikan kesehatanmu ya guys ☑️ Omicron sudah masuk Indo, soo tentukan proteksi ASET mu mau pake apa? proteksi GINJAL mu mau pake apa juga?  Jimmy Siap Bantu keduanya 👍  https://t.co/u3qXQpZbtf",1
"Gara2 omicron turki, grup rame lagi. Pasien nambah lagi ni, laporan kyknya nambah lagi. Please oy, cape banget tenaga kesehatan ikutan kena imbasnya. Pengen lebaran di kampung tahun ini. Jangan gagalin harapan anak rantau kos :'(  https://t.co/Ug6YCUl15t",1
"@KompasTV Sudah tahu punya riwayat “auto imun” tp masih saja lalai menjaga diri hanya karna ingin berjalan jalan keluar negeri yg lagi marak maraknya merebak virus covid varian Omicron yg gampang tertular.  Skrg sudah begini, bgmn jika resiko nyawa terancam?",2
@detikcom Harus nya kita berterima kasih sama keluarga mereka karena mereka rela berkorban kena omicron lebih dulu 🥲,2
"Gak bosen orang metropolitan percaya sama pemerintah bahwa covid terkendali, tiap sabtu bandung penuh.   Sementara omicron menari-nari",2
@txtdrkaumbengek gak sekalian bakron habis omicron,2
STATISTIK VARIAN OMICRON DI INDONESIA,2
"@tamerlane9470 @jawafess ya krn yg dilakukan ashanty ini nyari penyakit namanya, kecuali kek org terpaksa keluar rumah demi utk kerja terus kena covid masi dimaklumi dah, ini kan gara2 jalan2 pdhl udh tahu di negeri sana kasus omicron lagi naek",2
"Mau pergi keluar negeri itu hak anda yang merasa punya uang,tetapi anda dibekali akal untuk berpikir,kira kira kalau hak anda digunakan itu,akan timbul masalah gak ya,dengan banyaknya kasus omicron di luar negeri. Jadi jangan mentang mentang punya duit berlaku seenaknya",1
Berikut Panduan Pemerintah Ketika Tertular Omicron  https://t.co/f9tISwCDdm,1
"@proboputro65 Semua yg dr rans entertainment itu asal duit dari menteri corona, itu duit rakyat, pokoknya artis yg gede2 &amp; artis yg itu2 aja, itu punya pemerintah, kl di luar negeri ya BTS, kena omicron semua, hal yg blm datang saja, kita dah tahu, krn komunis polanya kasar mainnya",3
"Flu atau Omicron?. Delta kok tetiba hilang ya?. Katanya vaksin ciptakan Herd Imunity, mana?. Masih percaya covid itu bahaya?. Kapan lagi kita nikmati hidup ini kawan?. Kita dirumah saja sementara mereka berbisnis PCR, Alkes, nilap Bonsos dan Bantuan Tunai. Rela?  😆😆😆",1
"@detwooo @corbuzier Varian omicron emang bikin was2. Jangankan ke jerman, ke warteg aje gue cancel kalo isi dompet tinggal 1500..",1
"Di saat omicron, kita punya sop untuk physical distanced nak dekat kan lagi! Tak faham lah aku",1
"@Knowyourenemyz Mereka 'ditugaskan' endorse Omicron dan Gelombang Ketiga...  Kok banyak yg gak paham, ya ?!?",3
"Di masa omicron mengganas, Kazakhstan rusuh masih mikir kunker ntah apalah ke sana?  Selalu tampil norak.  https://t.co/ZVG2SSRvn2",3
Ulah ulah omicron 🤪,2
"@ananghijau Ashanty memang keterlaluan banget! Udah dibilangin jangan berpesiar ke luar negeri malah nekat berpesiar ke luar negeri! Akibatnya, Ashanty kena Covid-19 Omicron! Saya benar-benar marah pada Ashanty!",3
"Dianggap Bawa Virus Omicron, Ashanty Sedih Dihujat Netizen  https://t.co/3cXU50rLGx",1
@__seunghoon // omicron itu(?) Wkwkwk,2
"@tubirfess Awas aja sampe ada narasi lagi nyalahin rakyat menengah ke bawah terus yg ga taat prokes lah segala macem, jelas2 varian omicron kan varian 'impor' kalo gaada yg ke LN apa lg tujuannya utk liburan doang ya ga bakal masuk itu varian🙃",1
"Omicron di US ancur2an sampe ke staf maskapai dll tapi kaga dilarang masuk Indo yee, yang ditutup malah negara antah berantah dari Afrika.",1
"@FitriaRoQ @detikcom Alasan itu. Penggumuman ada omicron sblm beliau ke Turki kan.. Mestinya bs dicancel. Asal tahu aja Bu Asanty, suami sy meninggal krn covid, sedihnya tdk habis2 padahal kami ikuti prokes.mestinya keluarga Ibu liburan ke TPU rototan atau mangun jaya.",2
@musniumar Omicron tidak berbahaya ya menurut dr Siti Fadilah .. jelaskan yaaaa..,1
"Omicron Masuk Indonesia, Perintah Jokowi: Seluruh Warga dan Pejabat Tidak Boleh ke Luar Negeri   https://t.co/5cXJuFSFMi",1
"@AnangAshanty Ashanty memang keterlaluan banget! Udah dibilangin jangan berpesiar ke luar negeri malah nekat berpesiar ke luar negeri! Akibatnya, Ashanty kena Covid-19 Omicron! Saya benar-benar marah pada Ashanty!",3
"@Ayynasa @Askrlfess Oh open minded bgt ya kayak gini dibilang wajar. Klo emg imun rendah yaudah diem dirumah, bukannya malah ke negara dg omicron terbanyak",3
@musniumar Coba Musni Umar tertular omicron... pasti panik,3
@batagorrebus @absolutia @pngstuaji_ Berarti untuk mendukung studi tersebut anda siap kena omicron?,2
"@arifin34533 Tetap saja jalan2...jalan2 utk ketemu keluarga...dan akhirnya bawa penyakit ke negara ini... Jadi artis, figur publik mbok ya kasih contoh yg baik...ikuti himbauan Pemerintah utk tdk melakukan perjalanan ke luar negeri pd saat Omicron lg galak di luar negeri...",1
hari demi hari!  WHO kembali membawa kabar buruk tentang Omicron.  https://t.co/lKhJ18ZA4P,3
dangerous than omicron,2
"@CNNIndonesia Kita tunggu saja, kalau Ibu Ashanti selamat, artinya Omicron ini tidak berbahaya. Jadi kita jangan ditakut-takuti lagi dengan Omicron. 😊😊😊😊",1
Nahloh! WHO Bawa Kabar Kurang Enak Lagi Nih Soal Omicron  https://t.co/226YxHVO6V,3
@KelinciPaskah Setauku mereka double delta dan omicron Mas,2
"@susipudjiastuti bu susi, beda virus Delta, Gamma dan Omicron itu apa ?, saya nanya ibu walau bukan basis kedokteran, karena ..MenKes kita juga bukan seorang Dokter, bisa aja Ibu punya pendapat tergantung Pembisik..",1
"@KompasTV Pulang2 ketempelan omicron, rakyat kecil yg sengsara dibatasi geraknya. Wahai orang kaya tahan napsu keluar nwgerimu dulu.",1
@StopPlandemit Botak lebay.. Sini gw ksh varian omicron..,3
"Ha... Mau heran, tapi ini Indonesia. Yang bawa omicron dari luar negeri malah banyak yg dari orang2 kaya yg liburan. Yang disuruh di rumah aja yg rakjel.",1
"Kita harus tetap waspada virus Corona varian Omicron dgn amalkan protokol kesehatan, tapi tdk usah panik. Heboh artis pulang dari Turki terserang Omicron. Ibu Siti Fadilah omicron tidak  berbahaya. Jgn didramatisasi  https://t.co/LjaW20ci6c",1
@Jaehyundream__ @jawafess Omicron itu nama mutasi nya. Covid nam penyakitnya,2
pergi maen ama mimi peri   (chakeepp) jangan lupa ajak om imron   jalan jalan ke luar negeri   pulang-pulang bawa omicron,2
@SoeTjenMarching oleh2nya omicron 😋,2
Selamat pagi dan semangat pagi. Tetap jaga protokol agar @omicron tidak meluas di Indonesia,1
"Kemarin naik KRL ramai sekali. Terbesit, ya ampun masih pandemi seramai ini. Di sisi lain, ""alhamdulillah, ekonomi sudah berjalan. Mungkin sebagian pernah kehilangan pekerjaan di awal pandemi. Skrg sudah bekerja lagi."" Ya Allah mudah²an Omicron ini ga bikin problem besar.  https://t.co/MbbXYv2xvJ",1
"@cintakaromi @Itsyummies @abdulazizadhi @__vinf @AREAJULID Ngapain juga perlu tahu alasan mereka, kenyataan nya mereka tetep berangkat ke LN dan pulang bawa oleh2 Omicron ke Indo. Kalo nanti bakal ada gel ke-3 dan PPKM lagi, mereka adalah salah satu yg harus bertanggung jawab.",2
@Askrlfess Haaay duta omicron,2
"@tubirfess Ni keluarga aneh kagak pernah nonton berota di TV apa gmn deh. Pdhl Turki itu salah satu negara dengan kasus omicron paling tinggi loh, tp berani2nya mereka pergi kesana dgn alasan ""kunjungan keluarga besar"". Ga mikir apa masyarakat kelas menangah kebawah yg kena imbasnya anjrit",3
"Dari awal Wuhan keknya emang isu kelas, mereka yang punya akses ke LN, sampe Delta, sampe Omicron. Jelata kebagian ngejalanin prokes, trus nanti ada pejabat publik bilang rakyat menggali kuburnya sendiri. Gila.",2
apalagi ashanty ini artis gede^^ klo dia [+] pasti lah itu cuan mulu daleme e😭👍🏻 terlepas dr itu beliau emg lagi kena apes kayanya^^soalnya pas di indo jd tbtb + yaa maybe mutasi omicron cepet dan turkey-indo jg kan lama,1
"ak percaya omicron ada, cmn ak ga percaya sm sistem pcr nya org sini (indo) karna saking banyaknya oknum yg manfaatin situasi kayak gini^^ kdg - di buat +, korbannya buanyak ada jg tmnku keluarganya yg jd korban para oknum..",2
"Pasien Omicron di Surabaya Sudah Membaik, tapi Belum Boleh Pulang  https://t.co/RhTa0eRLKm",1
"Waspada Omicron sudah menyebar, tetap disiplin Prokes #AkuPadamuJokowi  https://t.co/8RfIdpRrNf",1
@jisatu01 Gak usah sirik lah sama urusan orang lain. Orang mau kemana terserahlah. Gue juga udah kena omicron. Gue kira bakal gimana rasanya ternyata B aja. Biasa banget.,1
"Satgas Covid-19 menyatakan bahwa sebagian besar warga negara Indonesia yang positif terpapar virus omicron, adalah mereka yang baru saja pulang dari luar negeri, terutama dari negara Ottoman Turki dan Arab Saudi, satgas Covid-19 waspadai dua negara tersebut,selain Inggris.",1
"Sudah tahu ada pandemi, keluarga besar Anang &amp; si Atta malah kelayapan &amp; liburan. Potensi terbesar dari selebriti seperti ini adalah menyebar Omicron!    https://t.co/0HeLYwSoBc",3
"Bebal ...!!  Penyanyi Ashanty positif COVID-19 varian Omicron, setelah pulang liburan dari Turki  Sudah tahu Dunia lagi pandemi Omicron, malah liburan ke luar negeri  Ashanty pembawa virus Omicron, semoga tidak terjadi gelombang pandemi ketiga di Indonesia 😷  https://t.co/tWrtjmyZMU",3
"Turki laporkan peningkatan jumlah kasus omicron di negaranya.kementrian kesehatan Turki laporkan peningkatan jumlah kasus baru Covid-19 varian omicron di negaranya, sejak Desember tahun lalu.kabar terbaru presiden Turki batasi masuknya warga negara asing ke negaranya.",1
Mo tanya.. Omicron sm Popcron itu sehabitat apa gak sih.. ?!? (baringupil)😋,2
"PEMERINTAH Indonesia memutuskan menutup pintu kedatangan dari dari luar negeri dari 14 negara dalam upaya pencegahan sebaran pandemi Covid-19, terutama varian Omicron.  https://t.co/9J1Al444ZU",1
@dr_koko28 Omicron gimana dok? Masih makan ikan??,2
"Geliat usah udh mulai rame eh ada berita artis omicron ah auto tarik nafas kembali, gila pasti dampaknya kalo ada gelombang ke 3 gue sebel da sumpah negara wakanda mah aneh polanya",2
"Sekarang omicron, tahun depan ada tantecron, budecron, pakdecron, mascron, mbakcron, babycron,eyangcron..apalagi? 😥🤦‍♀️",1
Sumpah deh kl hrs ppkm lg krn omicron amivrob amiron apa lah itu GAK KUAAT SHAYYY 😭😭,2
https://t.co/CRvXtKu2UY  Varian Omicron yang semakin menggila bikin Sundance Film Festival tahun ini terpaksa digelar online lagi.,1
Penderita Omicron di Surabaya Alami Gejala Ringan  https://t.co/3SFWafy1y2 #JatengJatim,1
@KemenkesRI Omicron mulai menggila,3
@txtdrimedia Harus dijadiin duta omicron nih,2
@TongSate Waktu itu belum omicron 😆😆,2
"@pengenjadimeong Tapi dia bawa temen baru, namanya omicron..",2
"Bagi gua Inggris barometer dalam penilaian Covid. Karena disana penggila sepak bola, yg kerumunanya selalu diizinkan. Kalau disana tinggi Covid, penonton pun gak boleh hadir.  Omicron Mengamuk di Inggris, Rumah Sakit London Kekurangan Staf  https://t.co/EbONNUl6BY",2
@kumparan Oooo ini yg darii turki gak bawa tape ketan tp malah bawa omicron,1
apakah omicron berbahaya?!?!,2
"Kasus Omicron Melonjak, Australia Kembali Berlakukan Beberapa Pembatasan  https://t.co/IzIBsa7WZp",1
"@didietmaulana ""jadi kaya, foya2 ke turki, pulang bawa omicron ya""",3
"@CNNIndonesia Duh kondisi begini masih banyak yg liburan (buang² duit) keluar negeri. Pulangnya bawa omicron, sebenarnya kebijakan pemerintah seperti apa ya, kelihatan takut bahaya omicron tp kok sepertinya bebas² aja ke/dari luar negeri? Apa agar TKA biar nggak kelihatan mencolok di bandara🤔",1
"@imanlagi Muncul berita positif varian baru omicron  Pemerintah : ""jangan bepergian keluar negri dulu ya kalau ngga mendesak""  Artis dan orang berduit : ""halo gaaees sekarang kita lagi ada di eropahh lagi liburaan yeay""  Rakyat biasa : ""oalah suasu, gue juga yang kena imbasnya""",2
@gaghyogi49 Omicron Theta Mr Data :),2
Omicron lambat laun mulai dicuatkan menjelang ramadhan,2
"@yagmurhujann waduuh serem.. kayanya omicron di eropa lagi naik banget kasusnya, ya semoga cepet sembuh deh ya 😷🥲",1
Sejatinya omicron tidak berbahaya. Tetapi media2 asyik menakuti 🤡. Media2 sekarang kurang baca literisasi dan terkesan adu domba,1
"si mba kembang BZ jg lagi jelong² liburan ke AMRIK kek nya,, apakah di sana jg kasus omicron tinggi 🤔 siap² saja klo ampe positiv and koq ya ngePASI 2 bulan lg mo puasa 😤",2
"@CNNIndonesia kecentilan, udah tau omicron lagi mewabah kok malah liburan ke LN... Udah gitu bawa oleh-oleh virus lagi tuh.....",3
Pertemuan dua keluarga besar yg kemudian ternyata membawa Omicron. What a joke.,2
@TRI40K0 maklum merasa DUNIA BISA DIBELI.. yg lain ngontrak.. padahal Pemerintah dengan lugas dan memberikan info kepada pejabat Negara Indonesia serta kepada Masyarakatnya agar dalam Prokes kali ini harus lebih MENCEGAH karena varian Omicron lebih kuat dari varian sebelumnya.,2
"Setelah corona, ada omicron yg katanya virusnya lebih berbahaya, lalu ada lagi IHU yg katanya lebih berbahaya dari omicron, lalu nanti apa lagi.  Rakyat kecil mah taunya cari nafkah sehari hari, cari ilmu sebanyak mungkin, cari kesempatan untuk hidup lebih baik lagi .. dahlah 😪",1
Yakin ..stelah omicron... Pasti ada varian baru....,3
Siapapun yang berlibur ke LN disaat Covid-19 Varian Omicron merebak di berbagai Negara adalah ‘tidakan egois’ &amp; ‘tidak bertanggung jawab’ terhadap nasib saudara2nya sebangsa &amp; setanah air.  Sangat ‘tidak bertanggung jawab’ bila ‘membawa’ Virus Omicron saat kembali ke tanah air.,1
Omegat onok omicron nehhhh,2
@AhlulQohwah Pulang bawa omicron...,2
"@junyrain_ Konsernya offline semua, Di seoul 3 hari dr tgl 7-9.. Trus tur eropa juga tp semalem ada announced ditunda karna meningkatnya kasus omicron..",2
